Latitude,Longitude
-23.64478341665854,-46.52807994647149
-23.64480302102287,-46.52814420814221
-23.6449288814596,-46.52880362214067
-23.64487542043479,-46.52842229669561
-23.6451154282101,-46.5279030229275
-23.64504347785842,-46.52791866096432
-23.64500579216063,-46.52828218746002
-23.64479763833233,-46.52777837525484
-23.64493379240024,-46.52777247714297
-23.64507255598441,-46.52920759948664
-23.64496520677413,-46.52853403436471
-23.64481211522343,-46.52921829266504
-23.64491921040624,-46.52777068377153
-23.64494877402576,-46.52785728765866
-23.64492489586853,-46.52795470412428
-23.64470698580727,-46.52849535278971
-23.64495559257346,-46.52829073420138
-23.64470027247506,-46.52783921782773
-23.64494087211154,-46.5287558142607
-23.64506540904795,-46.52851007006058
-23.64479907589402,-46.52814550981143
-23.64486458627648,-46.52816153376916
-23.64471481783645,-46.52833606847122
-23.64511837351283,-46.52905737935888
-23.64488987788197,-46.52880322851363
-23.64471129859838,-46.52916444428637
-23.64482489358217,-46.52796540554889
-23.64504973943671,-46.52877342300574
-23.64494141612576,-46.52864732405095
-23.64470530471866,-46.5286223425766
-23.64481838010327,-46.52891876350252
-23.64469788646729,-46.52799709700459
-23.64493275811189,-46.52838501798202
-23.64505191667631,-46.52793091423996
-23.64507733004303,-46.52800953705175
-23.64500458165125,-46.52833320962424
-23.64474006403224,-46.52839424055462
-23.64482775398034,-46.52823804735414
-23.64508994764068,-46.52784335579701
-23.64473339739473,-46.52786080144166
-23.64474348075852,-46.52912986878382
-23.64510471350872,-46.52850157135798
-23.64479255036011,-46.52854297199934
-23.64500422164313,-46.52829888409752
-23.64509748947244,-46.52882185126177
-23.64504722019441,-46.52788212720673
-23.64492856906843,-46.52831403479757
-23.64495412294487,-46.52879338501874
-23.64493915916754,-46.52889925244109
-23.64508848990009,-46.52877067677733
-23.64508643620595,-46.52816350410738
-23.64472699769467,-46.52892248480773
-23.64497709764808,-46.527964343442
-23.64500171080676,-46.52865239963
-23.64502849105511,-46.52784643878505
-23.64485120907129,-46.52817433174736
-23.64488253850472,-46.52903085605352
-23.64502052694221,-46.52811024875759
-23.64483855327053,-46.52910107362924
-23.64505212093617,-46.52796818088667
-23.64474271295503,-46.52857637820678
-23.64495842523599,-46.5290397442404
-23.6447650302073,-46.52907392179581
-23.64495279931258,-46.52922145982919
-23.64511386334628,-46.52858801879449
-23.64497259925706,-46.52885231940985
-23.6451082463411,-46.52849248300718
-23.64507519849359,-46.52918318163636
-23.64499718847356,-46.52777371656605
-23.64496614357511,-46.52784069734143
-23.64503336766957,-46.52795544051603
-23.64500647546057,-46.52836959306192
-23.64509216570538,-46.52873737012278
-23.64506649745816,-46.52889190950153
-23.64487800866562,-46.52897206171694
-23.64511545611689,-46.52911318605223
-23.64492524935525,-46.52784881969506
-23.64493302320411,-46.52864069303168
-23.64507168483232,-46.52884081674994
-23.64477641847695,-46.52872633932576
-23.64507286573657,-46.52804750306433
-23.64487782394671,-46.52849905595176
-23.64488323614336,-46.52789724259529
-23.64509331820479,-46.52882060719205
-23.6450964404822,-46.52833222284983
-23.64473215642638,-46.52813974063204
-23.64493041744428,-46.52853069619244
-23.64500099257095,-46.52794168205268
-23.64475001583959,-46.52835128640807
-23.64508929984487,-46.52797460485581
-23.64470160134366,-46.52909747894543
-23.64487063255199,-46.52844688314275
-23.64508797386132,-46.52775163494385
-23.64502386624062,-46.52892596663139
-23.64506864767365,-46.52887154722492
-23.64499394765868,-46.5280227583422
-23.6447091974763,-46.52859986424725
-23.64503758486102,-46.52818595071333
-23.64485234467333,-46.52812996099403
-23.64495028151715,-46.52792979033444
